unit1,
frequently,"자주, 종종"
point of view,"관점, 견해"
achievement test,학업성취도[검사]
peer,또래
trap,"덫, 함정"
feedback,"피드백, 의견"
court,"법정; 공터, (테니스) 코트"
speculation,추측
prehistoric,선사시대
analogy,"비유, 유사점"
hunter-gatherer,수렵 채집인
quest,"추구, 탐색"
universal,보편적인; 일반적인
entirely,"완전히, 전적으로"
fulfill,"성취하다, 완수하다"
acquire,"획득하다, 취득하다"
gadget,"도구, 기구, 장치"
maintain,유지하다
inherent,"내재적인, 타고난"
inevitably,"필연적으로, 반드시"
asset,"자산, 재산"
lot,"운명, 운"
profound,"깊은, 엄청난; 심오한"
contentment,만족[자족](감)
convinced,확신하는
field,분야
ideal,이상적인
circumstance,"환경, 정황"
reindeer,순록
spear,창
bow,활
arrow,화살
barrier,장벽; 장애물
response,반응; 대답
observe,관찰하다
behave,행동하다
politely,"예의 바르게, 공손히"
at this point in time,현시점에서는
renewable,재생 가능한
maintain,유지하다
proper,"적절한, 제대로 된"
footwear,신발(류)
joint,관절
recall,"상기하다, 기억해내다"
come up with,(해답 등을) 내놓다 
statement,진술
rectangular,직사각형의
horizontally,수평으로 
definition,(사전에 나오는 단어 등의) 정의
define,정의하다 
throw doubt upon[on],"의문을 제기하다, 의심하다"
allow for,"감안하다, 참작하다"
despite,~에도 불구하고
appropriate,적절한
effective,효과적인
ancestor,"조상, 선조"
resistance,저항력; 저항
infection,감염
actual,실제의
brain tissue,뇌 조직
vital,필수적인
component,(구성) 요소
function,기능; 기능하다
amaze,~를 놀라게 하다
protein,단백질
loneliness,"외로움, 고독"
evolve ,진화하다; 발달하다
external,외부의
threat,위협
unclear,불확실한
ingredient,"재료, 성분"
put pressure on A,A에게 압력을 가하다
invite,"(좋지 않은 일을) 불러들이다, 자초하다"
capable,유능한; ~을 할 수 있는
hidden,숨겨진
universal,보편적인
matter ,중요하다
provide A with B,A에게 B를 제공하다
diverse,다양한
opposing,대립되는
let go of,~을 놓다
perfectionism,완벽주의
obstacle,장애물
increasingly,점점 더
unbiased,편파적이지 않은
considering,~을 감안하면
statistics,통계
associated with,~와 관련된
insurance,보험
summit,산의 정상
shoot down,격추하다
mechanical,기계와 관련된
tempting,"~하고 싶은, ~할 마음이 드는"
flashy,호화로운; 현란한
hairdo,헤어스타일
conclude,결론짓다; 끝내다
cue,"단서, 신호; 신호를 주다"
make up one’s mind,"마음을 정하다, 결심하다"
rush,서두르다; 돌진하다
contract,계약(서)
prudent,"신중한, 조심성 있는"
aspect,(측)면; 양상
accurate,정확한
stereotype,고정관념을 형성하다
bully,약자를 괴롭히는 사람
adolescence,청소년기
figure out,알아내다
superior,우월한; 상급의
perceive,"인지하다, 감지하다"
avoidance,회피
stay[keep] away from,~에서 멀리 떨어져 있다
deal with,~을 상대하다
strategy,"전략, 작전"
contact,접촉
residence,"거주지, 주택"
resident,"거주자, 주민"
approximately,"대략, 대강"
ordinary,"흔한, 보통의"
housing,주택
practice,관행
planner,계획[입안]자
prevention,예방
pedestrian,보행자
physicist,물리학자
unwilling to-v,v하는 것을 꺼리는 (↔ willing to-v 기꺼이 v하는)
wagon,수레; 마차
principle,원칙
still,가만히 있는
visualize,시각화하다
concept,개념
grasp,"파악하다, 이해하다"
take in,이해하다
wordplay,말장난
unacknowledged,인정받지 못하는
unnamed,이름 짓지 않은
imprison,가두다; 투옥하다
let go of,~에서 손을 놓다
specific,특정한; 구체적인
be associated with,~와 관련되다
surround,둘러싸다
manufacturer,"제조업체, 생산자"
crucial,"중대한, 결정적인"
means,수단
release,"(대중들에게) 공개하다, 발표하다"
typewriter,타자기
typist,타자기 입력자
beauty,"장점, 멋진 점"
manage to-v,간신히 v하다
reproduce,재생산하다
functional,"기능상의, 기능적인"
