unit1,
garage,차고
violent,"난폭한, 폭력적인"
require,~을 필요로 하다
by mistake,"실수로, 우연히"
mature,성숙한
by-product,"부산물, 부수적으로 생기는 것"
friendly,친절한
others,"타인, 다른 사람들"
policy,정책
earn,"벌다, 얻다"
alert,"경계하는, 망보는"
predator,포식 동물
sign,"간판, 표지판"
fuzzy,"흐릿한, 어렴풋한"
tease,(말로) 놀리다
mad,화가 난; 미친
still,가만히 있는
alive,살아 있는
destroy,"쳐부수다, 파괴하다"
enemy,적
fortune,"운, 행운; 큰돈"
fate,운명
cozy,아늑한
sensitive,"예민한, 민감한"
artwork,미술품
upcoming,"다가오는, 곧 있을"
blossom,꽃이 피다
photocopier,복사기
parade,"퍼레이드, 가장행렬"
enormous,"엄청난, 막대한"
rapidly,급속히
emergency,"비상사태, 긴급 상황"
occur,"일어나다, 발생하다"
vary,"달라지다, 변하다"
cocoon,고치; 보호막
caterpillar,"유충, 애벌레"
flight,비행편
runway,활주로
lie in,~에 있다
creativity,창의성
increase,"커지다, 증가하다"
exposure,노출
overhear,우연히 듣다
funeral,장례식
expert,전문가
give a lecture,강의하다
low-fat,저지방의
diet,식단
scream at,"~에게 비명을 지르다, 소리치다"
figure,"형체, 형상"
actively,적극적으로
be away,"없다, 부재중이다"
head office,본사
detailed,"자세한, 상세한"
prove,~임이 입증되다
talented,재능 있는
ally,동맹국
raise money[fund],기금을 조성하다
precise,"자세한, 정확한"
instruction,"설명, 지시, 가르침"
decisive,"과감성 있는, 결단력 있는"
daily life,일상생활
long-term,장기적인
social,"사회적인, 사교적인"
entertaining,"재미있는, 흥을 돋우는"
observe,관찰하다
personal,"개인적인, 사적인"
make a fool of,~을 우스갯거리로 만들다
lead to,"~로 이어지다, ~을 이끌어내다"
laughter,웃음
blow away,~을 불어 날려버리다
chilly,"냉랭한, 싸늘한"
be likely to-v,"~할 가능성이 있다, ~하기 쉽다"
environment,"환경, 분위기"
undivided,"분할되지 않은, 온전한"
attention,"주의, 집중"
appear,~처럼 보이다
distracted,"산만한, 집중이 흐트러진"
lighthearted,"마음이 가벼운, 명랑한"
positive,긍정적인
be willing to-v,기꺼이 ~하다
comfort zone,안전지대
spontaneous,"즉흥적인, 자발적인"
lively,활기 있는
get along with,~와 잘 지내다
stand out,"두드러지다, 눈에 띄다"
tournament,"시합, 경기, 토너먼트"
championship,"선수권 대회, 결승전"
local,"지역의, 현지의"
worldwide,"전 세계의, 세계 규모의"
skilled,"숙련된, 노련한"
management,"관리, 경영"
manager,관리자
professional,전문가: 직업적인
athlete,직업 운동선수
organization,조직
behind the scene,"막후에서, 무대 뒤에서"
run,운영하다
industry,산업
in terms of,"~의 면에서, ~의 관점에서"
career,직업; 이력
aspect,"측면, 양상"
play a (significant) role,(중요한) 역할을 하다
including,~을 포함하여
sponsorship,(재정적) 후원
economics,경제성; 경제학
break into,"진입하다, 침입하다"
merely,"단지, 그저"
highly,매우
commercial,상업적인
demand,수요
individual,개인
grow up,"크다, 성장하다"
government,정부
worship,숭배하다
poet,시인
offer,"제공하다, 제안하다"
financial,"재정적인, 금전적인"
region,지역
for the first time,처음으로
come to-v,~하게 되다
totally,완전히
opportunity,기회
airfare,항공 요금
bill,지폐
graduate class,대학원 수업
economics,경제학
earn,(돈을) 벌다
finance,"재정 지원하다, 자금을 조달하다"
migrant,"이주자, 이민자"
migrate,이주하다
unique,"독특한, 유일무이한"
risk one’s life,목숨을 걸다
realize,실현하다; 깨닫다
decent,"번듯한, 어엿한"
as for,~에 관해 말하자면
decade,10년
Venezuelan,베네수엘라인
increasingly,점차로
citizen,시민
nostalgic,향수병에 걸린
at the same time,동시에
urgency,"긴급, 절박"
from time to time,가끔씩
relative,친척
identity,정체성
strive,"몹시 애쓰다, 분투하다"
hardworking,열심히 일하는
struggle,"투쟁, 분투"
break free,"벗어나다, 도망치다"
cycle,"순환, 회전"
poverty,"빈곤, 가난"
support,지원하다
contribute to,~에 기여하다
invest,투자하다
unit2,
reasonable,"합리적인, (가격이) 적정한"
valuable,"귀중한, 가치 있는"
on the spot,현장에; 즉석에서
at that time,"그때, 당시"
safety equipment,안전 장비
laboratory,실험실
ahead of,"~에 앞서, ~보다 먼저"
pilot,조종하다; 조종사
degree,"정도, 수준"
competence,"능력, 능숙함"
character,글자
regularly,규칙적[주기적]으로
lead to,"~로 이어지다, ~의 결과를 가져오다"
obvious,"분명한, 명백한"
unique,"유일무이한, 독특한"
quarrel,말다툼하다
global warming,지구 온난화
get worse,악화되다
doubtful,의심스러운
clear,"분명한, 명백한"
all the way,"내내, 죽"
belief,"믿음, 신념"
honesty,정직
pay,보상을 받다
in the long run,"결국에는, 나중에 가서는"
anger,화
tear up,"갈기갈기 찢다, 파기하다"
proper,적절한
last,지속되다
survive,"살아남다; 견디다, 넘기다"
blanket,담요
refugee,"난민, 피난민"
hammer,망치
contrary to,"~에 반하여, ~와 반대로"
expectation,"기대, 예상"
turn out,~인 것이 판명 나다[드러나다]
argument,"주장, 논쟁"
ignorance,"무식, 무지"
newborn,갓 태어난
medical,의학의
complex,복잡한
beat,"이기다, 쳐부수다"
hut,오두막
homeless,집 없는
escape,"달아나다, 피하다"
huge,거대한
total,"완전한, 전체의"
eclipse,(일식·월식의) 식; 빛을 잃음
peaceful,평화로운
boil,끓다 (boiling 끓고 있는)
lava,용암
nation,국가
right,권리
ensure,"보장하다, 확실히 하다"
light,불을 켜다
curse,"저주하다, 탓하다"
trade,"거래하다, 교역하다"
autographed,자필 서명이 있는
deal,거래
isolated,고립된
area,지역
comfort,"위로(하다), 위안(을 주다)"
beloved,사랑하는
task,"일, 과업"
take away,"제거하다, 없애다"
pain,고통
lessen,"줄이다, 감소시키다"
sympathy,"공감, 연민"
provide,제공하다
suffer from,~로 고통 받다
loss,"상실, 분실"
tricky,"까다로운, 힘든"
go through,~을 겪다
companion,"동반자, 벗"
deeply,"몹시, 매우"
sadden,슬프게 하다
pass on,"죽다, 돌아가시다"
aggressive,공격적인
absolute,"절대적인, 완전한"
loss,상실
benefit,"혜택, 이득"
as a whole,전체로서의
critical,중요한; 비판적인
area,"분야, 지역"
empowerment,"권한 부여, 힘을 실어주기"
discrimination,차별
among,~ 가운데
illiterate,문맹의
sure,확실한
enable,~할 수 있게 하다
choice,선택
chance,"가능성, 확률"
promote,촉진하다
self-confidence,자신감
citizen,시민
thereby,"그로 인해, 그것에 의해서"
contribute to,~에 기여하다
activity,"활동, 행위 (act 행동하다)"
derive A from B,B에서 A를 끌어내다
a great deal of,"많은 ~, 다량의 ~"
pleasure,"즐거움, 기쁨"
economic,경제의
play a part,"역할을 하다, 한몫하다"
consumer goods,소비재(식품·의류 등 개인의 욕망을 충족하기 위해 소비되는 재화)
industry,산업
reflect,반영하다
exchange,교환
relation,관계
practice,"관행, 관습"
affect,영향을 끼치다
fear,두려움
ordinary,"보통의, 평범한"
crisis,위기; 중대한 기로; 결정적 단계(복수형 crises)
academic,"학업의, 학문적인"
in short,간단히 말해
struggle,"투쟁, 노력"
existence,존재
at (the very) least,적어도
satisfaction,만족
grade,등급
device,기계장치
well-being,"복지, 행복"
dear,(편지 첫 부분 수신자 이름 앞에) ~에게
rarely,좀처럼 ~ 않다
suppose,"(~일 거라고) 여기다, 생각하다"
wander,"방황하다, 쏘다니다"
idly,하릴없이
weird,"기이한, 이상한"
be absorbed in,~에 푹 빠져있다
come up for air,"한숨 돌리다, (숨쉬기 위해) 수면으로 나오다"
overdose,"과다 복용, (약의) 과량"
limit,"제한하다, 한도를 두다"
be allowed to-v,~하도록 허용되다
electronics,전자기기
schedule,"일정을 잡다, 시간 계획을 하다"
occupy,"점령하다, 차지하다"
punish,"처벌하다, 벌주다"
explore,"탐험하다, 탐구하다"
be of interest,흥미 있다
unit3,
equal,"평등한, 동등한"
opportunity,기회
promotion,승진; 홍보[판촉]
reserved,"예약된, 따로 둔"
party,일행
mark,특징; 표시
whether or not,~인지 아닌지
accidentally,"우연히, 어쩌다"
overhear,"우연히 듣다, 엿듣다"
