unit1,
compare,1. 비교하다 2. 비유하다
divide,"나누다, 갈라지다"
relate,"관련시키다, 관련이 있다"
leave,"1. 떠나다; 그만두다 2. (남겨) 두다, 남기다"
follow,"1. 따라가다, 따라오다 2. (지시 등을) 따르다 3. 이해하다"
endure,"1. 견디다, 참다 2. 지속되다, 오래가다"
forbid,금지하다; 못 하게 하다
control,1. 통제하다 2. 지배하다 3. 조절하다; 1. 통제 2. 지배
focus,"1. 집중하다, 집중시키다 2. 초점을 맞추다; 1. 집중 2. 초점"
concentrate,"1. 집중하다, 집중시키다 2. 농축하다; 농축물"
determine,"1. 결정하다 2. 결심하다 3. 알아내다, 밝히다"
conclude,"1. 결론을 내리다 2. 끝내다, 끝나다"
fit,"1. (모양, 크기가) 맞다 2. 어울리다, 적합하다; 1. 어울리는, 적합한 2. (운동으로 몸이) 건강한"
belong,"(~의) 것이다, 소유이다; (~에) 속하다"
occur,"1. 발생하다, 일어나다 2. (생각이) 떠오르다 3. (~에) 존재하다"
notice,"1. 알아차리다 2. 주목하다 3. 통지하다; 1. 주의, 주목 2. 통지(서); 게시(물)"
inform,"알리다, 통지하다"
suppose,"1. (사실이라고) 가정하다 2. (~일 것이라고) 생각하다, 추측하다"
pretend,(~인) 척하다; (사실이 아닌 것을) 주장하다
suggest,"1. 제안하다 2. 암시하다, 시사하다"
develop,"1. 발달시키다, 발전하다 2. 개발하다 3. (필름을) 현상하다"
locate,1. (~의) 위치를 찾아내다 2. (특정 장소에) 위치하다
seperate,1. 분리하다 2. 헤어지게 하다; 분리된; 개개의
disappear,"사라지다, 없어지다"
suffer,"1. 고통을 받다 2. (손해 등을) 겪다, 당하다"
require,필요로 하다; 요구하다
prevent,"1. 막다, 방해하다 2. 예방하다"
motivate,1. 동기를 부여하다 2. (행동 등의) 이유가 되다
socialize,"(사람들과) 어울리다, 친하게 지내다; 사회화시키다"
gather,"모이다, 모으다"
unit2,
recognize,"1. 알아보다, 분간하다 2. (존재, 사실을) 인정하다"
remind,"생각나게 하다, 상기시키다"
negotiate,"협상하다, 교섭하다"
approve,승인하다; 찬성하다
declare,"1. 선언하다, 공표하다; 단언하다 2. (세관 등에) 신고하다"
contrast,"대조하다; 대조[차이]를 보이다; 대조, 차이"
avoid,"피하다, 회피하다; 막다, 예방하다"
postpone,"미루다, 연기하다"
confuse,1. 혼동하다 2. 혼란스럽게 하다; 당황하게 하다
defeat,"이기다, 패배시키다; 패배"
destroy,파괴하다; 파멸시키다
collapse,1. (의식을 잃고) 쓰러지다 2. 붕괴되다; 붕괴
involve,"1. 포함하다, 수반하다 2. (사건 등에) 연루시키다, 관련시키다"
claim,"1. (~이 사실이라고) 주장하다 2. (권리, 재산 등을) 요구하다; 1. 주장 2. 요구; (요구할) 권리"
demand,"요구하다; 1. 요구, 요청 2. 수요"
refund,환불하다; 환불(금)
tend,"1. (~하는) 경향이 있다, ~하기 쉽다 2. 돌보다, 보살피다"
recommend,"추천하다; 권고하다, 권장하다"
respond,"1. 대답하다, 응답하다 2. 반응하다"
refer,"1. 언급하다 2. 가리키다, 나타내다 3. 참조하다, 참고하다"
react,"반응하다, 반응을 보이다"
reinforce,"강화하다, 보강하다"
export,수출하다; 수출(품)
trace,"추적하다; 자취, 흔적"
retire,"은퇴하다, 퇴직하다; 물러나다"
organize,"1. (행사 등을) 준비하다 2. 정리하다, 체계화하다 3. (단체를) 조직하다"
construct,1. 건설하다 2. 구성하다
advertise,광고하다
offend,1. 불쾌하게 하다 2. (도덕 등에) 어긋나다; 위반하다
encounter,1. 우연히 만나다 2. (위험 등에) 직면하다; (우연한) 만남
unit3,
structure,"1. 구조; 조직, 기구 2. 구조물, 건축물; 조직하다, 구조화하다"
category,"범주, 카테고리, 부문"
sort,종류; 분류; 분류하다
quality,"1. 질(質) 2. 고급, 양질 3. 특성; 자질; 고급의, 양질의"
quantity,"1. 양, 수량 2. 다량, 다수"
reason,"1. 이유; 근거 2. 이성, 판단력; 추론하다"
period,"1. 기간, 시기; 시대 2. 마침표"
occasion,"1. (특정한) 때, 경우 2. (특별한) 행사, 의식"
state,"1. 상태 2. 국가 3. (미국, 호주 등의) 주(州); (격식을 차려) 말하다, 서술하다"
circumstance,"상황, 환경; (일의) 전후 사정"
device,"장치, 기구"
goods,"상품, 제품"
industry,"1. 산업, 공업 2. 근면, 부지런함"
labor/labour,노동(력); (부지런히) 일하다
factor,"요인, 요소"
theory,"이론, 학설"
context,"문맥, 맥락"
impact,"1. 영향(력), 효과 2. 충격, 충돌; 영향을 주다"
climate,"1. 기후 2. 분위기, 풍조"
crisis,위기; 중대한 기로
nature,"1. 자연 2. 본성, 천성; 본질"
decade,"10년, 10년간"
symptom,"1. 증상 2. 징후, 조짐"
priority,"우선 사항, 더 중요한 것; (시간, 순서가) 먼저임"
minority,"1. 소수; 소수파 2. 소수 민족, 소수 집단"
purpose,목적; 의도
resolution,"1. 결심, 결의(안) 2. (문제의) 해결"
scent,"냄새, 향기"
favor/favour,"1. 호의, 친절 2. 지지, 찬성; 1. 호의를 보이다 2. 지지하다, 찬성하다"
fever,"1. 열, 발열 2. 열기"
unit4,
symbol,"1. 상징(물) 2. 기호, 부호"
freedom,"자유, 자유로운 상태"
rest,"1. (어떤 것의) 나머지 2. 휴식; 쉬다, 휴식을 취하다"
award,"상(금); 수여하다, 주다"
reward,보상(금); 보상하다
instance,"경우, 사례"
sequence,"1. (일련의) 연속 2. 순서, 차례"
