unit1,
teen,십대(나이가  13~19세인  사람)
teenager,십대(나이가  13~19세인  사람)
childhood,어린  시절
grandchild,"손자,  손녀"
grandson,손자
granddaughter,손녀
marriage,"결혼  생활,  결혼"
parents,부모
stepparent,"의붓  어머니,  의붓  아버지"
nephew,남자  조카
niece,여자  조카
adult,"성인,  어른"
relative,친척
fun,"재미,  즐거움  (을  주는  것)"
have  (one’s)  fun,"재미있게  놀다,  흥겨워하다"
make  fun  of,"~을  놀리다,  비웃다"
hatred,"증오심,  혐오감
(사람이나  사물을)  매우  싫어  하는  마음"
laughter,"웃음,  웃기,  웃음소리"
amusement,"재미,  즐거움"
anger,"화,  분노"
joke,"우스갯소리,  농담"
play  a  joke  on,"~에게  농담하다,  장난치다"
pleasure,"기쁨,  즐거움"
shame,"수치심,  창피,  유감스러운  일
창피하거나  부끄러운  마음"
disgust,"혐오감,  역겨움,  넌더리"
horror,"공포(감),경악"
character,"성격,  기질"
sneaker,"살금살금 하는 사람,  비열한 사람, (복수형으로)  운동화"
snob,"속물,  고상한  체하는  사람"
personality,"성격,  인격"
regret,"후회,  유감"
emotion,"감정,  정서"
confidence,"신뢰,  자신감"
gain  confidence,자신감을  얻다
excitement,"흥분,  신남"
gratitude,"고마움,  감사"
fear,"공포,  두려움,  무서움"
feeling,"느낌,  기분"
mood,"기분,  심정"
gloomy  mood,우울한  기분
good  mood,좋은  기분
honesty,"정직(성),  솔직함"
climate,기후
mild  climate,온화한  기후  따뜻하고  상쾌한  날
warm  climate,따뜻한  기후
wet  climate,습한  기후  축축하고  불쾌한  날씨
degree,도  각도·온도의  단
experiment,실험
on  experiment,시험적으로
for  experiment,"실험을  위해서,  실험용"
machine,기계
memory,기억(력)
screen,화면
switch,스위치
temperature,"온도,  기온"
weather,"날씨,  기상,  일기"
architecture,"건축학,  건축술"
study  architecture,건축학을  공부하다
atmosphere,"(지구의)  대기,  분위기"
orbit,궤도
technology,(과학)  기술
high  technology,첨단  기술
information  technology,정보  기술(IT)
chemistry,화학
gravity,중력
dynamic,"원동력,  역학(-s)"
spacecraft,우주선
laboratory,실험실
angle,"각도,  각"
oxygen,산소
ozone,오존
ozone  layer,오존층
nutrient,"영양소,  영양분"
nutrition,영양  (처리  과정)
physics,물리학
planet,행성
rate,"속도,  비율"
ratio,"비율,  비(⽐)"
research,"연구,  (연구)  조사"
researcher,"연구원,  조사원"
satellite,"위성,  위성  장치"
calorie,"열량,  칼로리(식품의  에너지  측정  단위)"
galaxy,은하계
germ,"세균,  미생물"
germ  killer,살균제
invention,발명(품)
fluid,"유체(流體),  유동체"
lead,납
electricity,"전기,  전력"
forecast,"예측,  예보"
weather  forecast,"예보,  기상  통보"
sales  forecast,판매  예측
metal,금속  쇠로  된  도구나  조각을  이르는  말
elementary  school,초등학교
essay,"(짧은 논문식)  과제물,  수필 자기 생각을 쓴 짧은 글"
ethics,윤리학
library,도서관
literature,문학
math,수학
mathematics,수학
unit2,
lecture,"강의,  강연"
give  a  lecture,강의를  하다
university,대학
enter  the  university,대학에  입학하다
economics,경제학
education,교육
graduate,대학  졸업자
graduation,졸업
graduation  ceremony,졸업식
high  school,고등학교
vacation,"방학,  휴가"
freshman,신입생
middle  school,중학교
knowledge,지식
history,역사
history  of  korea,한국사
kindergarten,유치원
semester,학기
academy,"(특수  분야의)  학교,  학회,  예술원"
dropout,중퇴자  학교나  교육  기관을  중간에  그만둔  사람
alphabet,"알파벳,  자모"
pronunciation,발음
proverb,"속담,  격언"
exam,시험
take  an  exam,시험을  치르다
dictionary,사전
guard,"보초,  파수병,  수비대"
uniform,"제복,  군복"
war,전쟁
battle,전투
army,군대
weapon,무기
shot,"발포,  총성,  포성"
air  force,공군
attack,공격
defense,"방어,  방위,  수비  (=  defence)"
self-defense,자기  방어
accident,사고  우연히  일어나는  일
by  accident,우연히
accidentally,"우연히,  뜻하지  않게"
coin,동전
crash,"사고,  충돌,  추락"
airplane  crash,비행기  추락사고
culture,(한  국가나  집단의)  문화
culture  shock,문화  충격
economy,"경기,  경제"
exchange,"교환,  맞바꿈"
currency  exchange,환율
force,"물리력,  폭력,  힘"
friendship,"교우  관계,  우정  친구  관계"
fund,"기금,  자금"
raise  funds,기금을  모으다
goods,"상품,  제품"
interview,면접 (시험)  입학이나 취직을 하기 위해 질문을 하는 과정
job  interview,(취직)  면접
interviewer,"면접관,  인터뷰  진행자"
interviewee,"면접  받는  사람,  면접  대상자"
location,"장소,  위치"
pollution,"오염,  공해  환경오염처럼  무언가가  더러운  상태"
price,"가격,  물가"
price  tag,가격표
at  any  price,어떤  대가를  치르더라도
beyond  price,값을  따질  수  없는
production,"생산(량),  제품"
recycling,"재순환(작용),  재활용  다시  사용하는  것"
village,"(시골)  마을,  부락,  촌락"
festival,"축제,  기념제"
advertisement,광고  (=  ad)
agency,"(특정  서비스  제공)  단체,  대리점,  대행사"
advertising  agency,광고  대행사
travel  agency,여행사
agreement,"협정,  합의"
make  an  agreement  with,"~와  협정하다,  ~와  계약을  맺다"
aid,"원조,  지원"
anniversary,기념일
anthem,"(중요한  의미의)  노래[–가],  축가"
national  anthem,국가(國歌)
cent,(100 분의  1 달러)  센트
charity,"자선  단체,  자선"
democracy,민주주의
demonstration,"시위,  데모"
department  store,백화점
folk,사람들
folk  tale,전래  동화
harbor,"항구(=port),  항만"
identity,"신원,  신분,  정체  개인의  정보"
insurance,보험
industry,"산업,  공업,  제조업"
organization,"조직(체),  단체,  기구  한  목적을  가진 사람들의  무리"
voluntary  organization,자원봉사  단체
society,사회
the  Supreme  Court,대법원  죄가  있고  없음을  최종  결정하는  곳
tax,세금
tax  payer,납세자
tax  rate,세율
boss,"(직장의) 상관, 상사,  사장 지위가 자신보다 높은 사람"
secretary,비서
security,"보안,  경비,  안보,  방위"
security  guard,"경비원,  보안  요원"
system,"제도,  체제"
unit3,
newspaper,신문
wedding,"결혼(식),  혼례(식)"
wedding  ceremony,결혼식
emperor,황제
empire,제국
enemy,적
congress,"회의,  의회,  국회"
consumer,소비자
consumer  rights,소비자  권리
capital,수도  물이  나오는  수도가  아닌  한  나라의  중심  도시
funeral,장례식
garbage,쓰레기
garbage  truck,쓰레기차
government,"정부,  정권"
pop,팝(뮤직)
prince,왕자
princess,공주
villager,마을  사람
volunteer,자원봉사자
classmate,"급우,  반  친구"
debt,"빚,  부채"
pay  off  debt,빚을  갚다
heritage,(국가·사회의)  유산  앞세대가  물려준 사물  또는  문화
hero,영웅
independence,독립  다른  것에  의존하지  않은  상태
Independence  Day,독립기념일
press,"신문,  잡지,  언론"
servant,"하인,  종"
bank,은행 은행나무가 아닌 ○○은행과 같이 돈을 맡기고 빌리는 곳
bar,"술집,  바"
country,"국가,  나라,  시골"
court,"법정,  법원"
appear  in  court,법정에  출두하다
market,시장·장  서울시의  시장이  아닌  물건을  사고  파는  장소
fruit  market,과일  시장
flower  market,화훼  시장
antiques  market,골동품  시장  중고품을  사고  파는  곳
stock  market,주식  시장
flea  market,벼룩시장
law,법
petroleum,석유
founder,"창립자,  설립자  최초로  ~을  설립하거나  만든  사람"
foundation,"설립,  토대,  재단"
media,"(신문,  텔레비젼  등의)  매체,  대중  매체"
nation,국가
nationality,국적
office,"근무처,  사무소,  사옥"
office  worker,"회사원,  사무실  직원"
oil,"석유,  기름"
poverty,"가난,  빈곤"
power,"힘,  세력,  권력"
republic,공화국  국민이  대통령을  뽑는  나라
slave,노예
wealth,"부(富),  (많은)  재산"
trial,"재판,  공판"
ad,"광고,  광고업,  광고  활동"
event,"사건,  일"
review,"검토,  논평,  복습,  (사법부의)  심리(審理)"
service,"서비스,  서비스  체제"
supply,"공급,  비축"
appeal,"항소(抗訴),  상고(上告)"
association,"협회,  연상,  제휴"
in  association  with,~와  연합하여
celebration,"기념,  축하  행사"
celebrity,유명  인사
cell,"감방,  세포"
ceremony,"의식,  식 정신과 관련된 의식이 아닌 종교 의식과 같은 행사"
charge,"요금,  (경찰의)  기소,  책임"
in  charge  of,"~을  맡아서,  담당하여"
generation,세대(비슷한  연령층)
responsibility,"책임,  책무"
a  position  of  responsibility,책임이  있는  자리
sense  of  responsibility,책임감
leader,"지도자,  대표"
leadership,"대표직,  지도력,  통솔력"
union,"조합,  단체,  연합"
terms,(합의·계약  등의)  조건
in  terms  of,~  면에서
emergency,"비상(사태),  응급  상황"
contest,"대회,  시합"
accomplishment,"업적,  공적"
account,계좌
bank  account,은행  계좌
campaign,"캠페인, (사회·정치적 목적을 위한 조직적인) 운동"
canal,"운하,  수로  물을  나르기  위해  만든  길"
popularity,인기
population,"인구,  (모든)  주민"
product,"생산물,  상품,  제품"
profit,"이익,  수익,  이윤"
make  profit,"이익을  내다,  이윤을  내다"
project,"계획,  프로젝트"
property,"재산,  소유물"
value,(경제적인)  가치
viewer,시청자
friend,친구
close  friend,"친한  친구,  단짝  친구"
refund,환불(금)  구입한  물건을  다시  돈으로  교환하는  것
region,"지방,  지역"
relation,관계
in[with]  relation  to,"~에  관하여,  ~와  비교하여"
unit4,
relationship,관계
have  a  healthy  relationship,건전한  이성  교제를  하다
rental,"임대,  임대료"
duty,"의무,  (국내  반입물품에  대한)  세금"
duty-free  shop,면세점
winner,"우승자,  승자"
parade,"퍼레이드,  가두행진"
commodity,"상품,  물품,  원자재"
expense,"돈,  비용"
possession,"소유,  재산  돈,  물건  따위를  가지고  있는  것"
potluck,각자  음식을  가져와서  나눠  먹는  식사
speech,"연설,  담화"
make[deliver]  a  speech,연설하다
freedom  of  speech,언론의  자유
policy,"정책,  방침"
politics,정치
achievement,"업적,  성취한  것"
audience,"청중,  관중  공연,  연설  따위를  듣거나  보는  사람"
brand,"상표,  브랜드"
citizen,"시민,  국민"
communication,"의사소통,  연락  말을  주고  받는  행동"
community,"지역  사회,  지역  공동체"
company,회사
crowd,"사람들,  군중,  무리"
currency,통화 전화 통화가 아닌 특정한 국가에서 사용되는 돈의 의미
facility,"시설,  기관"
fame,명성
earn  fame,명성을  얻다
honor,"명예,  영예,  존경"
pay  honor  to,~에게  경의를  표하다
memorial,"기념비,  기념관"
Memorial  Day,현충일  나라를  위해  목숨을  바친  사람들을  기리는  날
resident,"거주자,  주민"
statement,"성명,  진술,  서술
이름  성명이  아니라  정리해서  전달하는  말"
status,"지위,  신분,  정세"
social  status,사회적  지위
storage,"저장,  보관,  저장고,  보관소"
tribe,"부족,  종족"
delivery,"(물품·편지  등의)  배달,  배송"
barrier,장벽  긴  벽이  아니라  어떤  것에  방해가  되는  것
language  barrier,언어  장벽
cart,"수레,  우마차"
paint,페인트
restaurant,"식당,  레스토랑"
roll,"통,  두루마리"
rope,"밧줄,  로프"
untie  a  rope,밧줄을  풀다
trash,쓰레기
appliance,(가정용)  기기
cellphone,휴대전화
scissors,가위
scoop,"국자,  큰  숟가락"
sock,양말
a  pair  of  socks,양말  한  켤레
television,텔레비전
toilet,변기(통)
toilet  paper,화장지
candle,양초
cap,모자
bulb,전구
vase,꽃병
bath  tub,욕조
battery,"건전지,  배터리"
laundry,"세탁,  세탁물"
pet,애완동물
pot,"냄비,  솥"
wheel,바퀴
jar,병
necklace,목걸이
neighbor,"이웃,  이웃  사람,  옆자리  사람"
plastic  bag,비닐봉지
plate,"접시,  그릇,  판"
mobile  phone,휴대전화
faucet,수도  꼭지
bottle,병  아픈  병이  아닌  액체  따위를  담는  유리병
a  bottle  of  beer,맥주  한  병
magazine,잡지
screw,"나사,  나사못"
grocery,"식료품  가게  음식,  생활용품을  파는  곳"
locker,"로커,  (자물쇠가  달린)  개인  물품  보관함"
ribbon,"리본,  (매듭·장식용)  끈"
ring,반지
wallet,지갑
bucket,"양동이,  들통"
makeup,화장
mall,"쇼핑몰,  쇼핑센터"
receipt,영수증
basket,바구니
knife,"칼,  나이프"
lantern,"랜턴,  손전등"
bench,"벤치,  긴  의자"
stove,"스토브,  난로,  (요리용)  레인지"
tool,"연장,  도구,  공구"
flashlight,"손전등,  회중  전등"
mirror,거울
pillow,베개
yard,"마당,  뜰,  (학교의)  운동장"
