unit1,
map,지도
song,노래
star,별
pencil,연필
bus,버스
box,상자
church,교회
dish,접시
potato,감자
tomato,토마토
radio,라디오
video,비디오
car,자동차
fox,여우
echo,메아리
audio,오디오
bird,새
beach,해변
hero,영웅
zoo,동물원
test,시험
cookie,쿠키
sandwich,샌드위치
buffalo,버팔로
kangaroo,캥거루
cat,고양이
class,"학급,  수업"
ash,재
studio,스튜디오
duo,"듀오,  2인조"
stereo,스테레오
baby,아기
candy,사탕
family,가족
boy,소년
monkey,원숭이
toy,장난감
wolf,늑대
knife,칼
wife,아내
dictionary,사전
diary,일기
subway,지하철
valley,계곡
shelf,선반
life,삶
city,도시
story,이야기
holiday,휴일
half,절반
country,나라
party,파티
key,열쇠
thief,도둑
deer,사슴
series,시리즈
sheep,양
aircraft,항공기
man,남자
foot,발
tooth,치아
child,아이
crossroads,사거리
dice,주사위
spacecraft,우주선
Japanese,일본인
woman,여자
mouse,쥐
ox,황소
oasis,오아시스
goose,거위
fish,물고기
coffee,커피
bread,빵
ink,잉크
sugar,설탕
happiness,행복
peace,평화
hope,희망
luck,"운,  행운"
the  Nile,나일강
Korea,한국
water,물
cheese,치즈
freedom,자유
love,사랑
America,미국
pizza,피자
pencil,연필
desk,책상
taxi,택시
umbrella,우산
egg,달걀
apple,사과
box,상자
teacher,선생님
animal,동물
office,사무실
hour,시간
honest,정직한
desk,책상
eagle,독수리
elephant,코끼리
bus,버스
man,남자
person,사람
orange,오렌지
lady,여성
apartment,아파트
question,질문
enemy,적
open,열다
window,창문
around,주위에
Sun,"해,  태양"
play,"(악기를)  연주하다,
(운동을)  하다"
piano,피아노
have,먹다
lunch,점심
send,보내다
music,음악
email,이메일
baseball,야구
cat,고양이
lovely,사랑스러운
pen,펜
table,테이블
mine,나의  것
Moon,달
Earth,지구
sky,하늘
first,첫  번째의
person,사람
great,"위대한,  엄청난"
show,쇼
guitar,기타
breakfast,아침
dinner,저녁
tennis,테니스
bus,버스
train,기차
unit2,
good,좋은
teacher,선생님
make,~하게  만들다
happy,행복한
book,책
kind,"상냥한,  친절한"
eat,먹다
like,좋아하다
friend,친구
fall,넘어지다
floor,바닥
cousin,사촌
police  officer,경찰관
chase,쫓다
January,1월
summer,여름
now,지금
about,대략
dark,어두운
freezing,얼어붙을  듯이  추운
outside,"밖,  바깥"
April,4월
far,먼
here,여기
Wednesday,수요일
bright,밝은
spring,봄
house,집
shirt,셔츠
mine,나의  것
look,"보다,  ~하게  보이다"
cheap,싸다
favorite,가장  좋아하는
singer,가수
fox,여우
friend,친구
key,열쇠
cousin,사촌
cup,컵
unit3,
teacher,선생님
cook,요리사
table,탁자
student,학생
professor,교수
rich,부자
people,사람들
actor,배우
doctor,의사
cat,고양이
adult,성인
child,"어린애,  아이"
thief,도둑
artist,예술가
girl,소녀
expert,전문가
nurse,간호사
sad,슬픈
kind,친절한
tall,키가  큰
delicious,맛있는
sad,슬픈
beautiful,아름다운
mean,심술궂은
good-looking,잘생긴
brave,용감한
cheap,값이  싼
happy,행복한
fair,공정한
attractive,매력적인
angry,화난
queen,여왕
elegant,우아한
fat,"살찐,  뚱뚱한"
perfect,완벽한
home,집
under,~  아래에
table,탁자
bridge,다리
café,카페
school,학교
chair,의자
bus,버스
museum,박물관
apple,사과
desk,책상
tree,나무
rabbit,토끼
book,책
desk,책상
man,남자
bag,가방
sugar,설탕
sailor,선원
sad,슬픔
cat,고양이
school,학교
short,"키가  작은,  짧은"
concert,콘서트
athlete,운동선수
ugly,못생긴
present,선물
hospital,병원
sick,아픈
home,집
tired,피곤한
hungry,배고픈
happy,행복한
gloomy,우울한
writer,작가
unit4,
want,원하다
eat,먹다
like,좋아하다
know,알다
grow,자라다
go,가다
pass,지나가다
fix,고치다
teach,가르치다
wash,씻다
