unit1,
sandwich,샌드위치
butterfly,나비
knife,"칼, 나이프"
woman,성인 (여자)
bread,빵
butter,버터
milk,우유
juice,주스
earth,지구
cheese,치즈
cookie,"쿠키, 과자"
onion,양파
coffee,커피
honey,꿀
umbrella,우산
soup,수프
orange,오렌지
hamburger,햄버거
warm,따뜻한
soft,"부드러운, 말랑한, 푹신한"
round,"둥근, 동그란"
sharp,"날카로운, 뾰족한"
sweet,"달콤한, 단"
unit2,
am/are/is,"~이다, ~하다"
zookeeper,(동물원) 사육사
vet,수의사
pilot,"조종사, 파일럿"
penguin,펭귄
owl,"부엉이, 올빼미"
bored,지루해하는
excited,"신난, 흥분한"
thick,두꺼운
thin,얇은
happy,행복한
angry,화난
sick,"아픈, 병든"
okay,괜찮은
fast,빠른
slow,느린
artist,"화가, 예술가"
mitten,벙어리장갑 (한 짝)
hospital,병원
dentist,치과 의사
unit3,
some,"조금, 약간의, 몇몇의"
potato,감자
carrot,당근
salt,소금
tomato,토마토
cup,"컵, 잔"
sugar,설탕
grape,포도
fork,포크
spoon,"숟가락, 스푼"
rice,"쌀, 밥"
strawberry,딸기
ice cream,아이스크림
unit4,
walk,"걷다, 걸어가다"
take,(버스 등을) 타다
study,"공부하다, 배우다"
get up,일어나다
have,가지고 있다; 먹다
breakfast,아침식사
brush one’s hair[teeth],"머리를 빗다[이를 닦다, 양치하다]"
like,좋아하다
clean,청소하다
drink,마시다
catch,잡다
pass,"지나가다, 통과하다; (공을) 패스하다"
mix,섞다
do,하다
fly,"날다, (연 등을) 날리다"
carry,"가지고[들고] 가다, 나르다"
try,"시도하다, 해보다"
watch,"보다, 지켜보다"
soda,탄산음료
math,수학
science,과학
cream,크림
go,가다
wash,씻다
play,(운동 경기 등을) 하다; (악기를) 연주하다
flute,플루트
unit5,
swim,"수영하다, 헤엄치다"
take a shower,샤워를 하다
tail,꼬리
live,살다
city,도시
lunch,점심 (식사)
go to bed,"자다, 취침하다"
tennis,테니스
ride,(자전거 등을) 타다
do one’s homework,숙제를 하다
unit6,
playing,"노는 중, (게임, 운동 경기 등을) 하는 중"
talking,이야기하는 중
studying,공부하는 중
standing,서 있는 중
dancing,춤 추는 중
driving,운전하는 중
riding,(자전거 등을) 타는 중
sitting,앉아 있는 중
jogging,조깅하는 중
swimming,수영하는 중
walking,걷는 중
eating,먹는 중
running,"달리는 중, 뛰는 중"
cutting,자르는 중
drive,운전하다
volleyball,배구
pool,수영장
taxi,택시
grass,잔디(밭)
newspaper,신문
scooter,퀵보드
pond,연못
climb,"오르다, 올라가다"
unit7,
writing,쓰는 중
letter,편지
card,(생일 등에 보내는) 카드
blowing up,(입으로) 부는 중
singing,노래하는 중
song,노래
email,이메일
listening,듣는 중
music,음악
hold,들고 있다
close,닫다
laugh,웃다
unit8,
